Vernier Format 2
cinematique-10-accandstop-reverse.CMBL 2023-11-09 12:05 .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

5.3	0.841379	-0.000952777777778	0.00370524691358
5.35	0.841379	-0.000285833333333	0.0107452160494
5.4	0.841379	0.000190555555556	0.0167794753086
5.45	0.841379	0.00114333333333	0.0227078703704
5.5	0.841379	0.00362055555556	0.0041287037037
5.55	0.8418935	0.00314416666667	-0.0470566358025
5.6	0.8418935	-0.00123861111111	-0.109728240741
5.65	0.841722	-0.00657416666667	-0.215433641975
5.7	0.841379	-0.0176263888889	-0.425891666667
5.75	0.840693	-0.0451616666667	-0.705426080247
5.8	0.8377775	-0.0917525	-0.906303395062
5.85	0.831775	-0.144631666667	-0.927899691358
5.9	0.822857	-0.189698055556	-0.835903703704
5.95	0.8123955	-0.226475277778	-0.763916049383
6	0.800219	-0.262395	-0.761692901235
6.05	0.7863275	-0.301268333333	-0.79361095679
6.1	0.7702065	-0.342618888889	-0.814995524691
6.15	0.7520275	-0.383778888889	-0.815313117284
6.2	0.7317905	-0.424271944444	-0.804462037037
6.25	0.709667	-0.465241388889	-0.765927469136
6.3	0.6851425	-0.503161944444	-0.675360648148
6.35	0.6590745	-0.534508333333	-0.539219290123
6.4	0.631463	-0.55909	-0.35543904321
6.45	0.602651	-0.571571388889	-0.137782253086
6.5	0.573839	-0.572524166667	0.077175
6.55	0.545027	-0.5633775	0.280593055556
6.6	0.5170725	-0.543655	0.460244598765
6.65	0.4903185	-0.515643333333	0.600302932099
6.7	0.4652795	-0.481629166667	0.69928595679
6.75	0.442127	-0.445423611111	0.792075925926
6.8	0.420518	-0.404073055556	0.925517746914
6.85	0.4014815	-0.355386111111	1.1190904321
6.9	0.3846745	-0.296695	1.38163364198
6.95	0.3706115	-0.214851388889	1.56403765432
7	0.3627225	-0.125385555556	1.44192330247
7.05	0.3592925	-0.0593580555556	1.07737993827
7.1	0.3579205	-0.0186744444444	0.698174382716
7.15	0.3579205	0.00657416666667	0.389897839506
7.2	0.359121	0.0179122222222	0.148262808642
7.25	0.36015	0.0185791666667	-0.0213316358025
7.3	0.361179	0.0133388888889	-0.126666512346
7.35	0.3616935	0.00343	-0.16678904321
7.4	0.361522	-0.00647888888889	-0.13375941358
7.45	0.360836	-0.0119097222222	-0.0526674382716
7.5	0.36015	-0.0124813888889	0.0443041666667
7.55	0.3592925	-0.00666944444444	0.117720987654
7.6	0.3592925	0.00285833333333	0.113909876543
7.65	0.359807	0.00800333333333	0.0372641975309
7.7	0.3603215	0.00762222222222	-0.0648418209877
7.75	0.360836	0.000762222222222	-0.1414875
7.8	0.3606645	-0.0105758333333	-0.125290277778
7.85	0.3596355	-0.0179122222222	0.00931604938272
7.9	0.358092	-0.01029	0.151968055556
7.95	0.3582635	0.0042875	0.158531635802
8	0.3589495	0.0112427777778	0.0463155864198
8.05	0.359807	0.00905138888889	-0.0770691358025
8.1	0.36015	9.52777777778E-05	-0.128413271605
8.15	0.359807	-0.008575	-0.0773337962963
8.2	0.3589495	-0.0100994444444	0.0253544753086
8.25	0.358435	-0.00419222222222	0.0903550925926
8.3	0.358435	0.00352527777778	0.0643654320988
8.35	0.359121	0.00495444444444	-0.0149797839506
8.4	0.3592925	-0.000476388888889	-0.0494385802469
8.45	0.3589495	-0.00390638888889	-0.0106922839506
8.5	0.3586065	-0.00190555555556	0.0364172839506
8.55	0.3586065	0.00285833333333	0.0270483024691
8.6	0.359121	0.00343	-0.0293773148148
8.65	0.3592925	-0.00209611111111	-0.0489092592593
8.7	0.358778	-0.00524027777778	0.000529320987655
8.75	0.358435	-0.00219138888889	0.0534084876543
8.8	0.358435	0.00323944444444	0.0485387345679
8.85	0.3589495	0.00524027777778	-0.00492268518518
8.9	0.3592925	0.00123861111111	-0.0346705246914
8.95	0.3589495	-0.00104805555556	-0.0149797839506
